Emotion,Word,Num
happy,众生,1
good,权谋,1
happy,诸如此类,1
disgust,语病,1
disgust,难受,1
sad,难受,1
disgust,难受,1
disgust,不宜,1
disgust,难看,1
good,精彩,1
disgust,护短,1
disgust,歇斯底里,1
good,一流,1
disgust,末流,1
disgust,二流,1
good,高质量,1
good,真实,1
sad,不忍,1
good,主角,1
happy,舒服,1
good,不错,1
good,真诚,1
good,节奏,1
disgust,担心,2
good,确实,1
disgust,一无是处,1
happy,缥缈,1
good,强大,1
good,喜欢,1
good,奔腾,1
disgust,不了,1
good,感兴趣,1
good,人心,1
good,极好,1
good,活泼,1
disgust,强硬,1
disgust,尴尬,2
happy,摆脱,1
good,俏皮,1
good,喜欢,1
disgust,模糊,1
disgust,阴谋,1
disgust,玩弄,1
good,可爱,1
happy,高兴,1
good,境界,1
happy,庆幸,1
good,璀璨,1
good,仙境,1
happy,自豪,1
good,真正,1
good,重要,1
good,展现,1
disgust,尴尬,1
good,赏心悦目,1
happy,赏心悦目,1
good,赏心悦目,1
good,丰富,1
good,喜欢,1
surprise,悬念,1
good,节奏,1
good,推荐,1
disgust,紧张,1
fear,紧张,1
disgust,紧张,1
disgust,刺激,1
good,可爱,1
sad,难受,1
happy,好笑,1
